ID,Title,Episodes,Type,Aired,Producers,Studios,Source,Genres,Duration,Score,Rating count,Rank,Popularity
10527,Duel Masters Cross,100,TV,"Apr 5, 2008 to Mar 27, 2010","None found, add some",Shogakukan Music & Digital Entertainment,Original,"Action, Adventure, Comedy, Fantasy",10 min. per ep.,6.26,855,83922,11055
10528,Duel Masters Cross Shock,50,TV,"Apr 3, 2010 to Mar 26, 2011","Shogakukan-Shueisha Productions, Asahi Broadcasting",Shogakukan Music & Digital Entertainment,Original,"Action, Adventure, Comedy, Fantasy",10 min. per ep.,6.16,747,89432,11279
10531,Meitantei Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,1,OVA,"Apr 16, 2011","Shogakukan-Shueisha Productions, Tokyo Movie Shinsha, TOHO",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",25 min.,7.33,4485,26112,6537
10532,Working'!! Announcement Specials,2,ONA,"Apr 1, 2011 to Apr 2, 2011","None found, add some",A-1 Pictures,4-koma manga,,2 min. per ep.,6.77,5783,54102,5675
10533,Fujilog,13,TV,"Apr 4, 2011 to Jun 27, 2011","None found, add some","None found, add some",Unknown,,4 min. per ep.,5.60,147,115972,15439
10534,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,1,Movie,"Mar 5, 2011","TV Asahi, Asatsu DK",Shin-Ei Animation,Manga,"Adventure, Comedy, Fantasy",1 hr. 48 min.,8.26,11908,3122,5297
10536,Kimi ni Todoke 2nd Season: Minitodo Gekijou,3,Special,"Apr 20, 2011 to Sep 21, 2011","None found, add some",Production I.G,Manga,"Comedy, Romance",5 min. per ep.,7.32,20579,26772,3176
10539,Hato no Oyome-san,3,TV,"Apr 13, 2011 to 2011","None found, add some",DLE,Unknown,,1 min. per ep.,N/A,,179732,17256
10540,Genki!! Ekoda-chan,22,TV,"Apr 13, 2011 to Sep 14, 2011","None found, add some",DLE,4-koma manga,,5 min. per ep.,5.86,183,104902,13254
10541,Shuukan Shimakou,11,TV,"Apr 13, 2011 to Jun 22, 2011","None found, add some",DLE,Manga,,3 min. per ep.,N/A,,140292,14906
10545,The Epic Of ZektBach,1,OVA,"Mar 21, 2011","Half H.P Studio, Konami Digital Entertainment",AIC,Music,"Action, Fantasy, Supernatural",30 min.,5.79,2161,108212,9196
10546,Rinkan Club,4,OVA,"Apr 29, 2011 to Jan 31, 2014",Pixy,Seven,Visual novel,,28 min. per ep.,6.57,3250,Ranked: N/A2,6865
10547,Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,1,OVA,"Jun 24, 2011","None found, add some",Nomad,Visual novel,"Drama, Fantasy, Romance, Ecchi",24 min.,6.40,5826,75662,5828
10549,Precure All Stars GoGo Dream Live!,1,Special,"Nov 8, 2008","None found, add some",Toei Animation,Original,,5 min.,6.88,1732,48512,9071
10552,Akebi no Hana: Maho,1,OVA,"Apr 15, 2011",MS Pictures,T-Rex,Manga,,27 min.,5.75,2157,Ranked: N/A2,8542
10553,Betsu ni Anta no Tame ni Ookiku Natta n ja Nai n Dakara ne!!,1,OVA,"Apr 15, 2011",ChiChinoya,Studio Boogie Nights,Original,,20 min.,6.22,3370,Ranked: N/A2,7343
10554,Yakyuukyou no Uta,25,TV,"Dec 23, 1977 to Mar 26, 1979","None found, add some",Nippon Animation,Manga,"Drama, Sports",46 min. per ep.,6.50,593,69512,11890
10562,Machine Hayabusa,21,TV,"Apr 2, 1976 to Sep 17, 1976","None found, add some",Toei Animation,Original,,23 min. per ep.,6.20,305,87222,13244
10563,Yakyuukyou no Uta: Kita no Ookami Minami no Tora,1,Movie,"Sep 15, 1979","None found, add some",Nippon Animation,Manga,"Drama, Sports",1 hr. 28 min.,N/A,,155292,14409
10564,Korogashi Ryouta,3,OVA,"Nov 21, 1990 to Nov 21, 1991","None found, add some",Knack Productions,Manga,"Action, Comedy, Hentai",41 min. per ep.,5.32,184,Ranked: N/A2,15238
10568,Kamisama no Memochou,12,TV,"Jul 2, 2011 to Sep 24, 2011","Lantis, AT-X, Warner Bros. Japan, KlockWorx, ASCII Media Works",J.C.Staff,Light novel,"Drama, Mystery",26 min. per ep.,7.47,96405,20222,1039
10570,Inshitsu Otaku ni Ikareru Kanojo,3,OVA,"Jun 24, 2011 to Nov 18, 2011","White Bear, Mediabank",Studio 9 Maiami,Visual novel,,19 min. per ep.,6.07,1984,Ranked: N/A2,7992
10572,Ro-Kyu-Bu!,12,TV,"Jul 1, 2011 to Sep 23, 2011","AT-X, Barnum Studio, Magic Capsule, Warner Bros. Japan, KlockWorx, ASCII Media Works","Project No.9, Studio Blanc.",Light novel,"Comedy, Sports, Ecchi",24 min. per ep.,6.76,36238,54662,2420
10573,Tennis no Oujisama: Another Story II - Ano Toki no Bokura,4,OVA,"Aug 26, 2011 to Oct 26, 2011","Production I.G, TV Tokyo, Bandai Visual, Marvelous Entertainment, Nihon Ad Systems, Shueisha",M.S.C,Manga,"Comedy, Sports",22 min. per ep.,7.45,4912,21072,6246
10575,Naisho no Wakana-san,1,OVA,"Dec 6, 2013",ChiChinoya,"None found, add some",Original,,18 min.,5.95,1669,Ranked: N/A2,9154
10578,C³,12,TV,"Oct 1, 2011 to Dec 17, 2011",Starchild Records,SILVER LINK.,Light novel,"Action, Comedy, Supernatural, Ecchi",24 min. per ep.,6.57,83151,65302,1383
10581,Kidou Senshi Gundam 0083: Stardust Memory - Uchuu no Kagerou,1,Special,1992,"None found, add some",Sunrise,Radio,"Action, Drama, Sci-Fi",3 min.,5.94,3095,100892,7544
10582,Astarotte no Omocha! EX,1,OVA,"Sep 7, 2011","None found, add some",Diomedéa,Manga,"Comedy, Fantasy, Romance, Ecchi",23 min.,6.54,19154,67132,3728
10585,Chuunen Punk,1,Music,2004,"None found, add some","None found, add some",Unknown,,2 min.,4.53,475,Ranked: N/A2,14792
10586,Cafe de Oni,1,Music,"Dec 22, 2004","None found, add some","None found, add some",Original,,4 min.,4.39,545,Ranked: N/A2,14242
10588,Persona 4 the Animation,25,TV,"Oct 7, 2011 to Mar 30, 2012","Aniplex, AIC, Mainichi Broadcasting System, ASCII Media Works, Index",AIC ASTA,Game,"Action, Mystery, Sci-Fi, Supernatural",25 min. per ep.,7.51,132030,18742,936
10589,Naruto: Shippuuden Movie 5 - Blood Prison,1,Movie,"Jul 30, 2011","TV Tokyo, Aniplex, Dentsu, Shueisha",Pierrot,Manga,"Action, Adventure, Fantasy",1 hr. 42 min.,7.46,149175,20772,988
10590,Reunion,2,OVA,"Jun 24, 2011 to Sep 30, 2011","None found, add some",PoRO,Visual novel,,28 min. per ep.,6.55,4131,Ranked: N/A2,6298
10592,s.CRY.ed Alteration I: Tao,1,Movie,"Nov 19, 2011","None found, add some",Sunrise,Original,"Action, Adventure, Sci-Fi",1 hr. 36 min.,6.88,1235,48582,8608
10594,Tokimeki Tonight Recaps,2,Special,1988,"Group TAC, TOHO","None found, add some",Manga,"Comedy, Fantasy, Romance",49 min. per ep.,6.02,206,96752,14870
10595,VitaminX Addiction,3,OVA,"Aug 26, 2011 to Oct 21, 2011","None found, add some",Nomad,Game,,29 min. per ep.,5.86,249,104752,10996
10602,Hayabusa: Back to the Earth - Kikan,1,Movie,"May 14, 2011","None found, add some","None found, add some",Unknown,,45 min.,N/A,,179772,17300
10603,Hayabusa: Back to the Earth,1,Movie,"Mar 26, 2009","None found, add some","None found, add some",Unknown,,42 min.,N/A,,179762,17438
10604,Hidan no Aria: Butei ga Kitarite Onsen Kenshuu,1,Special,"Dec 21, 2011",flying DOG,J.C.Staff,Light novel,"Action, Comedy, Mystery, Romance",23 min.,6.75,30151,55292,2993
10607,Rerere no Tensai Bakabon,24,TV,"Oct 19, 1999 to Mar 21, 2000","TV Tokyo, Yomiko Advertising",Pierrot,Manga,,25 min. per ep.,6.11,447,92362,13625
10611,R-15,12,TV,"Jul 10, 2011 to Sep 25, 2011","Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, AMG MUSIC, Glovision",AIC,Light novel,"Comedy, Romance, Ecchi",24 min. per ep.,6.41,39698,75472,2279
10620,Mirai Nikki (TV),26,TV,"Oct 9, 2011 to Apr 15, 2012","Lantis, Kadokawa Shoten, Rakuonsha, KlockWorx, Dwango",asread.,Manga,"Action, Supernatural, Suspense",23 min. per ep.,7.39,1229179,23462,35
10622,Tengen Toppa Gurren Lagann: Ore no Gurren wa Pikka-Pika!!,1,OVA,"Oct 25, 2007","None found, add some",Gainax,Original,"Action, Adventure, Comedy, Sci-Fi",12 min.,6.75,16678,55542,3811
10623,Hayan Ma-eum Baeggu,13,TV,"Oct 6, 2000 to Jan 12, 2001","None found, add some","None found, add some",Unknown,,23 min. per ep.,6.47,220,71722,13513
10624,Mardock Scramble: The Second Combustion,1,Movie,"Sep 3, 2011","Aniplex, Starchild Records",GoHands,Novel,"Action, Sci-Fi, Suspense",1 hr. 4 min.,7.31,21311,27492,3617
10627,Ski Jumping Pairs: Road to Torino 2006,1,Movie,"Jan 28, 2006","None found, add some","None found, add some",Other,"Comedy, Sports",4 min.,5.10,244,128652,15701
10628,Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥,1,OVA,"Nov 17, 2010","None found, add some","Shaft, Studio Pastoral",Manga,"Action, Adventure, Fantasy, Ecchi",31 min.,7.19,3669,33902,6560
10629,Tibet Inu Monogatari,1,Movie,"Jun 6, 2011","None found, add some",Madhouse,Novel,"Adventure, Drama, Fantasy",1 hr. 30 min.,7.22,2373,31872,7632
10633,Shiodome Cable TV,22,TV,"Apr 13, 2011 to Sep 14, 2011","None found, add some",DLE,Unknown,,5 min. per ep.,N/A,,139162,17974
10638,Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,1,Special,"Feb 8, 2012","None found, add some",Shaft,Light novel,"Comedy, Sci-Fi",29 min.,7.28,33692,28792,2875
10639,Deva Zan,1,Movie,"Dec 21, 2010",Studio Deva Loka,"None found, add some",Original,"Action, Fantasy",1 min.,4.85,509,131392,11073
10643,Gintama: Dai Hanseikai,1,Special,"Mar 25, 2010","None found, add some",Sunrise,Manga,"Action, Comedy",14 min.,8.07,16667,5462,3712
10647,Ao no Exorcist: Ura Ex,10,Special,"Jun 22, 2011 to Mar 21, 2012",Aniplex,A-1 Pictures,Manga,,1 min. per ep.,7.05,38795,40652,2307
10648,Mars,2,OVA,"Jun 10, 1994 to Aug 5, 1994",81 Produce,KSS,Unknown,"Action, Sci-Fi",30 min. per ep.,6.09,149,93202,14616
10653,Running Boy: Star Soldier no Himitsu,1,Movie,"Jul 20, 1986",TOHO,"None found, add some",Unknown,,49 min.,N/A,,209312,17027
10659,Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,1,Movie,"Jul 31, 2010","None found, add some",Pierrot,Original,"Action, Comedy, Fantasy",14 min.,6.95,26776,45472,3046
10666,Fireball Special,1,Special,"Aug 19, 2009",Jinnis Animation Studios,"None found, add some",Original,"Comedy, Sci-Fi",3 min.,6.27,1521,83362,10604
10668,Imouto Paradise!,2,OVA,"Dec 9, 2011 to Apr 20, 2012","Moonstone Cherry, Mediabank, Gold Bear",Anime Antenna Iinkai,Visual novel,,28 min. per ep.,6.58,8375,Ranked: N/A2,4973
10671,Morita-san wa Mukuchi.,13,TV,"Jul 6, 2011 to Sep 28, 2011","DAX Production, Takeshobo",Seven,4-koma manga,"Comedy, Slice of Life",3 min. per ep.,6.49,11187,70212,4566
10674,Omake,1,Movie,2003,"None found, add some","Yamamura Animation, Inc.",Original,,2 min.,5.14,424,127912,14622
10679,Maria†Holic: Runrun Riru Ranran Rara,1,PV,"Apr 28, 2011",Media Factory,Shaft,Manga,,1 min.,5.67,1825,Ranked: N/A2,9117
10681,Blood-C: The Last Dark,1,Movie,"Jun 2, 2012","Aniplex, Dentsu, Shochiku, Kadokawa Shoten, Mainichi Broadcasting System, Dwango",Production I.G,Original,"Action, Horror, Supernatural",1 hr. 46 min.,7.15,51391,35982,2091
10683,Tentacle and Witches,4,OVA,"May 27, 2011 to Nov 30, 2012",Pixy,Oz Inc.,Visual novel,"Supernatural, Hentai",27 min. per ep.,7.09,7714,Ranked: N/A2,5185
10684,Sore Ike! Anpanman: Sukue! Kokorin to Kiseki no Hoshi,1,Movie,"Jul 2, 2011","None found, add some","None found, add some",Unknown,"Comedy, Fantasy",46 min.,N/A,,141582,15788
10685,Sore Ike! Anpanman: Utatte Teasobi! Anpanman to Mori no Takara,1,Movie,"Jul 2, 2011","None found, add some","None found, add some",Unknown,"Comedy, Fantasy",21 min.,N/A,,141622,17158
10686,Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,1,Movie,"Jul 30, 2011",Shueisha,Pierrot,Manga,"Action, Adventure",14 min.,7.17,42729,34862,2448
10687,Saint Seiya: Legend of Sanctuary,1,Movie,"Jun 21, 2014","None found, add some",Toei Animation,Manga,"Adventure, Fantasy, Sci-Fi",1 hr. 32 min.,6.21,17962,86672,4246
10688,Muybridge no Ito,1,Movie,"May 16, 2011","NHK, Polygon Pictures","Yamamura Animation, Inc.",Original,"Award Winning, Drama",13 min.,6.13,806,90752,11603
10689,Appleseed XIII Remix Movie 1: Yuigon,1,Movie,"Jun 13, 2011","None found, add some","Production I.G, Jinnis Animation Studios",Original,"Action, Mystery, Sci-Fi",1 hr. 24 min.,6.24,1162,84792,8980
10690,Magic Tree House,1,Movie,"Jan 7, 2012","TV Tokyo, Dentsu, TV Osaka, Media Factory, GAGA, Yahoo! Japan",Ajia-do,Book,,1 hr. 45 min.,6.90,2678,47632,7344
10691,Downloader,1,Music,"May 27, 2011","None found, add some",Studio Deen,Original,,3 min.,5.89,3532,Ranked: N/A2,8159
10693,Appleseed XIII Remix Movie 2: Yogen,1,Movie,"Oct 24, 2011","None found, add some","Production I.G, Jinnis Animation Studios",Original,"Action, Mystery, Sci-Fi",1 hr. 24 min.,6.29,1174,82152,8893
10694,Bloods: Inraku no Ketsuzoku 2,2,OVA,"Jul 29, 2011 to Nov 25, 2011","None found, add some",PoRO,Visual novel,,30 min. per ep.,6.89,6187,Ranked: N/A2,5421
10695,Yume Kui: Tsurumiku Shiki Game Seisaku,2,OVA,"Jul 29, 2011 to Sep 30, 2011","None found, add some",Suzuki Mirano,Visual novel,,29 min. per ep.,6.67,3814,Ranked: N/A2,6446
10697,Asa kara Zusshiri Milk Pot,2,OVA,"Aug 5, 2011 to Jan 27, 2012","White Bear, Mediabank",Studio 9 Maiami,Visual novel,,19 min. per ep.,6.07,3646,Ranked: N/A2,6934
10701,Ulysses 31 Pilot,1,Special,1980,"None found, add some",TMS Entertainment,Unknown,"Action, Adventure, Sci-Fi",24 min.,5.75,285,109612,14765
10702,Tekken: Blood Vengeance,1,Movie,"Jul 26, 2011",Bandai Namco Games,Digital Frontier,Game,"Action, Fantasy, Sci-Fi, Supernatural",1 hr. 32 min.,6.59,14422,64252,4697
10703,Meitantei Conan OVA 11: London kara no Maru Hi Shirei,1,OVA,"May 30, 2011","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",25 min.,7.40,6411,23272,5851
10705,Yasai no Yousei: N.Y.Salad,26,TV,"Apr 5, 2007 to May 17, 2007",NHK,Digital Media Lab,Unknown,,5 min. per ep.,N/A,,155612,16203
10706,Yasai no Yousei: N.Y.Salad 2nd Series,26,TV,"May 5, 2008 to Jun 9, 2008",NHK,Digital Media Lab,Unknown,,5 min. per ep.,N/A,,155622,17538
10709,Manga Nihon Keizai Nyuumon,25,TV,"Oct 13, 1987 to Mar 29, 1988",TV Tokyo,Knack Productions,Manga,"Drama, Slice of Life",24 min. per ep.,N/A,,195202,15092
10710,Houkago no Pleiades: Manner Movie,1,Movie,"Jun 4, 2011","None found, add some",Gainax,Original,,52 sec.,5.37,792,122892,10873
10711,Plastic Neesan,12,ONA,"May 16, 2011 to Jul 26, 2012","Lantis, DAX Production, Asahi Production, Good Smile Company","Barnum Studio, TYO Animations",Manga,,2 min. per ep.,7.19,102122,33972,1237
10713,Towa no Quon 2: Konton no Ranbu,1,Movie,"Jul 16, 2011","Bandai Visual, Lantis, Movic, Showgate, Hakuhodo DY Media Partners, Sony PCL, Fonishia",Bones,Original,"Action, Mystery, Sci-Fi, Supernatural",48 min.,7.30,21196,27912,3659
10714,Towa no Quon 3: Mugen no Renza,1,Movie,"Aug 13, 2011","Bandai Visual, Lantis, Movic, Showgate, Hakuhodo DY Media Partners, Sony PCL, Fonishia",Bones,Original,"Action, Sci-Fi, Supernatural",48 min.,7.41,19888,22842,3757
10715,Towa no Quon 4: Guren no Shoushin,1,Movie,"Sep 10, 2011","Bandai Visual, Lantis, Movic, Showgate, Hakuhodo DY Media Partners, Sony PCL, Fonishia",Bones,Original,"Action, Sci-Fi, Supernatural",48 min.,7.51,19102,18812,3795
10716,Towa no Quon 5: Souzetsu no Raifuku,1,Movie,"Nov 5, 2011","Bandai Visual, Lantis, Movic, Showgate, Hakuhodo DY Media Partners, Sony PCL, Fonishia",Bones,Original,"Action, Sci-Fi, Supernatural",48 min.,7.47,18509,20402,3836
10717,Towa no Quon 6: Towa no Quon,1,Movie,"Nov 26, 2011","Bandai Visual, Lantis, Movic, Showgate, Hakuhodo DY Media Partners, Sony PCL, Fonishia",Bones,Original,"Action, Sci-Fi, Supernatural",48 min.,7.56,18952,17022,3535
10718,Soliton no Akuma,1,Movie,1997,Toho Music,Triangle Staff,Novel,"Drama, Sci-Fi",1 hr. 30 min.,5.92,384,101932,13486
10719,Boku wa Tomodachi ga Sukunai,12,TV,"Oct 7, 2011 to Dec 23, 2011","AIC, Media Factory, TBS, Bushiroad, Bandai Namco Games, Good Smile Company",AIC Build,Light novel,"Comedy, Romance, Ecchi",24 min. per ep.,7.14,460083,36172,237
10720,Korekuraide Utau,1,Music,"May 17, 2011","None found, add some","None found, add some",Original,,6 min.,6.81,1630,Ranked: N/A2,10697
10721,Mawaru Penguindrum,24,TV,"Jul 8, 2011 to Dec 23, 2011","Starchild Records, Mainichi Broadcasting System",Brain's Base,Original,"Avant Garde, Drama, Mystery, Supernatural, Suspense",24 min. per ep.,7.93,109657,7482,833
10723,Sojunghan Nal-ui Kkum,1,Movie,"Jun 16, 2011","Studio MWP, EBS","Studio Meditation With a Pencil, Iconix Entertainment",Original,"Comedy, Drama, Romance",1 hr. 39 min.,6.41,443,74962,11212
10728,Maid Ane,2,OVA,"Aug 19, 2011 to Dec 16, 2011",Digital Works,Y.O.U.C,Manga,,27 min. per ep.,6.14,1659,Ranked: N/A2,9112
10731,Tennis no Oujisama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,1,Movie,"Sep 3, 2011","TV Tokyo, Bandai Visual, Marvelous Entertainment, Nihon Ad Systems, Shueisha","Production I.G, M.S.C",Manga,,1 hr. 27 min.,7.43,4962,21662,6268
10732,Konjiki no Gash Bell!!: Hashire Gash!! Ubawareta Umagon,1,OVA,2006,"None found, add some",Toei Animation,Unknown,"Adventure, Comedy, Supernatural",21 min.,6.59,1293,64592,9887
10735,Planetes Picture Drama,9,Special,"Sep 25, 2009",Bandai Visual,Sunrise,Manga,"Comedy, Sci-Fi",3 min. per ep.,5.64,823,114512,10933
10736,Precure kara Minna e no Ouen Movie,1,ONA,"May 20, 2011","None found, add some",Toei Animation,Original,,32 sec.,6.06,880,94942,10738
10737,A-Channel: +A-Channel,11,Special,"May 25, 2011 to Oct 26, 2011",Aniplex,Studio Gokumi,4-koma manga,"Comedy, Slice of Life",2 min. per ep.,6.95,9925,45252,5033
10739,Panty & Stocking in Sanitarybox,1,Special,"Apr 28, 2011","None found, add some",Gainax,Original,"Action, Avant Garde, Comedy, Supernatural, Ecchi",8 min.,6.39,21597,76462,3606
10740,Pokemon Movie 14 Black: Victini to Shiroki Eiyuu Reshiram,1,Movie,"Jul 16, 2011","TV Tokyo, Shogakukan-Shueisha Productions, Marvelous Entertainment, TOHO","Production I.G, Xebec, OLM",Game,"Adventure, Comedy, Drama, Fantasy",1 hr. 36 min.,6.63,29559,62392,3192
10741,Jingi,2,OVA,"Dec 4, 1991 to Apr 8, 1992","None found, add some",J.C.Staff,Unknown,"Adventure, Drama",49 min. per ep.,N/A,,185432,14981
10742,Saru to Kani no Gassen,1,Movie,"May 20, 1917",Nikkatsu,"None found, add some",Other,,Unknown,4.93,452,130602,13292
10743,Tora-chan no Kankan Mushi,1,Movie,1950,"None found, add some","None found, add some",Original,,10 min.,5.28,580,125222,13718
10751,Kikou Kai Galient OVA,3,OVA,"Jan 26, 1986 to Aug 5, 1986","None found, add some",Sunrise,Unknown,"Action, Fantasy, Sci-Fi",56 min. per ep.,6.08,705,93932,12487
10755,Lupin tai Holmes,1,TV Special,"May 5, 1981","None found, add some",Toei Animation,Unknown,,1 hr. 5 min.,5.83,245,105942,13422
10756,Shita-kiri Suzume,1,Movie,"Oct 18, 1917","None found, add some","None found, add some",Original,,Unknown,6.05,115,95162,15462
10757,Kachikachi Yama,1,Movie,"Oct 20, 1917","None found, add some","None found, add some",Other,,8 min.,5.37,238,122922,14469
10758,Momotarou,1,Movie,"Mar 1, 1918","None found, add some","None found, add some",Original,,Unknown,5.54,180,117992,14845
10759,Kintarou,1,Movie,"Mar 16, 1918","None found, add some","None found, add some",Original,,Unknown,5.83,144,105912,15548
10760,Issunboushi,1,Movie,"Mar 20, 1918","None found, add some","None found, add some",Original,,1 min.,5.61,177,115602,15029
10763,Robot Taekwon V,1,Movie,"Jul 24, 1976","None found, add some","None found, add some",Unknown,,1 hr. 16 min.,4.68,277,133012,14791
10764,Buta Himesama,1,OVA,"Aug 26, 2011",Pink Pineapple,Seven,Visual novel,"Fantasy, Supernatural, Hentai",24 min.,5.55,3038,Ranked: N/A2,7644
10765,Hikaru no Go: Sabaki no Ikkyoku! Inishie no Hana yo Sake!!,1,OVA,2002,"None found, add some",Pierrot,Manga,"Comedy, Supernatural",28 min.,7.34,3064,25782,7614
10766,Meitantei Conan vs. Wooo,2,ONA,"Apr 22, 2011 to Jun 23, 2011","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",7 min. per ep.,6.13,2533,90712,8057
10770,Mahou Shoujo Elena,3,OVA,"Jul 8, 2011 to Feb 22, 2013","Valkyria, Anime Antenna Iinkai","Studio Fantasia, Rabbit Gate",Visual novel,"Supernatural, Hentai",27 min. per ep.,6.43,2975,Ranked: N/A2,7265
10774,Soccer Fever,51,TV,"Apr 4, 1994 to Mar 27, 1995",Tokyo Movie Shinsha,"None found, add some",Original,,28 min. per ep.,6.31,187,80962,14579
10775,SKET Dance: Tettei Bunseki Special,1,Special,"May 3, 2011","None found, add some",Tatsunoko Production,Unknown,,24 min.,6.95,1565,45112,8407
10779,Eroge! H mo Game mo Kaihatsu Zanmai,6,OVA,"Aug 26, 2011 to Mar 25, 2016","None found, add some",Collaboration Works,Visual novel,,30 min. per ep.,7.55,29881,Ranked: N/A2,2879
10780,Dead Heat,1,OVA,"Aug 7, 1987","None found, add some",Sunrise,Original,"Action, Sci-Fi",31 min.,5.42,1060,121492,11672
10790,Kore wa Zombie desu ka? of the Dead,10,TV,"Apr 5, 2012 to Jun 7, 2012","Kadokawa Shoten, AT-X, Kadokawa Pictures Japan, KlockWorx, flying DOG",Studio Deen,Light novel,"Action, Comedy, Fantasy, Ecchi",24 min. per ep.,7.48,219919,19812,637
10792,Haramasete Seiryuu-kun!,2,OVA,"Jun 24, 2011 to Jan 31, 2012","Pixy, Magic Bus",Horannabi,Visual novel,"Comedy, Hentai",28 min. per ep.,6.45,2711,Ranked: N/A2,7412
10793,Guilty Crown,22,TV,"Oct 14, 2011 to Mar 23, 2012","Aniplex, Dentsu, Movic, Fuji TV, Fujipacific Music, 1IN",Production I.G,Original,"Action, Drama, Sci-Fi",24 min. per ep.,7.40,644732,23122,116
10794,IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou,1,OVA,"Dec 7, 2011",Sony Music Communications,8bit,Light novel,"Action, Comedy, Romance, Sci-Fi, Ecchi",26 min.,6.82,68880,51812,1847
10796,Softenni Specials,6,Special,"Jun 22, 2011 to Nov 23, 2011","None found, add some",Xebec,Manga,"Comedy, Ecchi",3 min. per ep.,6.08,2151,93522,8943
10797,Kayoe! Chuugaku,425,TV,"Jun 6, 2011 to Mar 28, 2014","None found, add some",DLE,Original,,1 min. per ep.,N/A,,188392,16127
10798,Un-Go,11,TV,"Oct 14, 2011 to Dec 23, 2011","Dentsu, Fuji TV, TOHO, Sony Music Entertainment, Fujipacific Music",Bones,Novel,"Mystery, Sci-Fi, Supernatural",24 min. per ep.,7.33,59306,26322,1569
10799,Chime,1,Music,"Jun 1, 2011","None found, add some",Studio Deen,Original,,4 min.,5.90,2995,Ranked: N/A2,8796
10800,Chihayafuru,25,TV,"Oct 5, 2011 to Mar 28, 2012","VAP, Nippon Television Network",Madhouse,Manga,"Drama, Sports",22 min. per ep.,8.18,186854,4052,496
10801,Copihan,7,ONA,"Aug 12, 2011 to Nov 3, 2011","Studio Mausu, Slow Curve",Gonzo,Manga,"Comedy, Sci-Fi",6 min. per ep.,5.39,4078,122372,6916
10802,MonHun Nikki Girigiri Airou Mura G,13,TV,"Jul 1, 2011 to Sep 29, 2011","None found, add some",DLE,Game,"Action, Comedy",3 min. per ep.,5.97,228,99422,14786
10804,"Ikoku Meiro no Croisée The Animation: Ongakkai ""Récital""",1,Special,"Jul 29, 2011",Aoni Entertainment,Satelight,Manga,,23 min.,7.33,4547,26492,7000
10805,Kami nomi zo Shiru Sekai: 4-nin to Idol,1,OVA,"Sep 16, 2011","Geneon Universal Entertainment, Shogakukan-Shueisha Productions, Shogakukan Music & Digital Entertainment",Manglobe,Manga,"Comedy, Supernatural",24 min.,7.28,62953,28982,2053
10807,Nichijou: Original Jikai Yokoku,25,Special,"Jun 24, 2011 to Jun 29, 2012","None found, add some",Kyoto Animation,Manga,,30 sec. per ep.,7.04,5379,41502,5013
10808,Kidou Senshi Gundam AGE,49,TV,"Oct 9, 2011 to Sep 23, 2012","Sotsu, Lantis, Mainichi Broadcasting System, Sony Music Entertainment, Level-5, ADK",Sunrise,Original,"Action, Sci-Fi",24 min. per ep.,6.48,15735,71082,3994
10810,Pucca (TV) 2nd Season,13,TV,"Mar 7, 2008 to Jul 24, 2008",VOOZ Character System,"None found, add some",Other,"Action, Comedy, Romance",23 min. per ep.,6.64,4535,61432,7015
10812,Toumei Shounen Tantei Akira,1,Special,1970,"None found, add some",Knack Productions,Original,,13 min.,4.79,231,131982,15997
10813,Alps no Shoujo Heidi Pilot,1,Special,1967,TCJ,"None found, add some",Book,"Comedy, Drama",5 min.,5.27,534,125312,12917
10815,UFO Senshi Dai Apolon 2,21,TV,"Oct 7, 1976 to Feb 24, 1977","None found, add some","Eiken, Studio Live",Original,"Action, Sci-Fi",24 min. per ep.,6.26,404,83802,13904
10819,Ranma ½: Tendou-ke no Oyobidenai Yatsura!,1,Special,"Aug 30, 1992","None found, add some",Kitty Film Mitaka Studio,Manga,"Comedy, Slice of Life",24 min.,6.86,1606,49922,8819
10820,Sengoku Majin Goushougun (Movie),1,Movie,"Apr 24, 1982","None found, add some",Ashi Productions,Unknown,,1 hr. 5 min.,5.95,476,100232,13240
10821,Suite Precure♪ Movie: Torimodose! Kokoro ga Tsunagu Kiseki no Melody♪,1,Movie,"Oct 29, 2011","None found, add some",Toei Animation,Original,,1 hr. 11 min.,7.02,2732,42532,7890
10822,Ranma ½: Totteoki Talk - Best of Memories,1,OVA,"May 1, 1993","None found, add some",Kitty Film Mitaka Studio,Manga,"Comedy, Slice of Life",43 min.,7.02,1419,42472,8923
10823,Ranma ½: 1994 Music Calendar,1,OVA,1993,"None found, add some",Kitty Film Mitaka Studio,Manga,"Comedy, Slice of Life",20 min.,6.60,1215,64002,9517
