ID,Title,Episodes,Type,Aired,Producers,Studios,Source,Genres,Duration,Score,Rating count,Rank,Popularity
50275,Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,1,Movie,"Oct 22, 2022",Aniplex,A-1 Pictures,Light novel,"Action, Adventure, Fantasy, Romance",1 hr. 40 min.,7.69,46932,12892,1853
50280,Jing: Shuang Cheng,18,ONA,"Nov 15, 2021 to Feb 14, 2022",Foch Film,"None found, add some",Novel,"Action, Adventure, Fantasy",19 min. per ep.,6.71,215,57772,14267
50281,Delicious Party♡Precure,45,TV,"Feb 6, 2022 to Jan 29, 2023","TV Asahi, Asatsu DK, Asahi Broadcasting, ABC Animation, ADK Emotions",Toei Animation,Original,,24 min. per ep.,6.86,3324,49602,6430
50282,Mazica Party Movie,1,Movie,"Dec 3, 2021","None found, add some","None found, add some",Original,,Unknown,N/A,,170892,19280
50284,Technoroid: Overmind,12,TV,"Jan 5, 2023 to Mar 30, 2023","TV Tokyo, Sotsu, Avex Pictures, CyberAgent, LOGIC&MAGIC, CMI",Doga Kobo,Mixed media,"Mystery, Sci-Fi",24 min. per ep.,6.53,3531,67642,5524
50285,On Air Dekinai!,12,TV,"Jan 10, 2022 to Mar 28, 2022","Pierrot, TV Tokyo, WarRock","Space Neko Company, Jinnan Studio",Manga,,3 min. per ep.,5.87,226,104512,10921
50288,Cinderella,1,Music,"Nov 1, 2021","None found, add some",monofilmo,Original,,3 min.,6.87,1342,Ranked: N/A2,11021
50289,Rhythmens,5,ONA,"May 28, 2021 to Aug 30, 2021","None found, add some",VCRWORKS,Original,,1 min. per ep.,6.05,116,95712,19583
50290,Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 2nd Season,3,ONA,"Nov 3, 2021 to Nov 17, 2021","None found, add some",AQUA ARIS,Web manga,"Boys Love, Fantasy",2 min. per ep.,5.66,448,113742,13022
50291,Slow Starter,1,Music,"Oct 21, 2021","None found, add some",VCRWORKS,Original,,4 min.,N/A,,Ranked: N/A2,21615
50292,Shouji Li de Huanxiong Xiao Zhen 2nd Season,26,ONA,"Oct 29, 2021 to Jan 21, 2022","None found, add some",TthunDer Animation,Web manga,"Comedy, Slice of Life",5 min. per ep.,N/A,,139532,22077
50293,Ruguo Lishi Shi Yiqun Miao 6th Season,13,ONA,"Apr 11, 2021 to Jul 4, 2021","None found, add some","None found, add some",Web manga,,7 min. per ep.,N/A,,184282,21531
50294,Ruguo Lishi Shi Yiqun Miao 7th Season,12,ONA,"Oct 17, 2021 to Dec 19, 2021","None found, add some","None found, add some",Web manga,,7 min. per ep.,N/A,,184292,21594
50295,Bu Bai Chi Hua Shanhai Jing,41,ONA,"Oct 19, 2021 to Jul 19, 2022","None found, add some","None found, add some",Original,,4 min. per ep.,N/A,,192232,21642
50296,Ashuai 5th Season,34,ONA,"Jun 12, 2021 to Sep 25, 2021","None found, add some","None found, add some",Manga,,3 min. per ep.,N/A,,188452,22172
50297,Ashuai 6th Season,34,ONA,"Oct 2, 2021 to ?","None found, add some","None found, add some",Manga,,3 min. per ep.,N/A,,188462,21694
50299,Ji Gong: Xiang Long Jiang Shi,1,Movie,"Jul 16, 2021","None found, add some","None found, add some",Other,"Action, Fantasy",1 hr. 32 min.,N/A,,210762,20172
50300,Tunshi Yongheng,30,ONA,"Jun 26, 2020 to 2023",iQIYI,"None found, add some",Novel,"Action, Fantasy",10 min. per ep.,N/A,,146772,20051
50302,Pupa (Movie),1,Movie,2019,Geidai Animation,"None found, add some",Original,"Avant Garde, Slice of Life",3 min.,5.96,490,100102,13667
50306,Seirei Gensouki 2,12,TV,"Oct 8, 2024 to ?","MediaNet, Nippon Columbia, KlockWorx, Asmik Ace, Hobby Japan, BS Fuji, Strawberry Meets Pictures, Crunchyroll, Kanon Sound, NichiNare, Melonbooks, TMS Music, CTW",TMS Entertainment,Light novel,"Action, Adventure, Fantasy, Romance",23 min. per ep.,7.24,5342,30952,1808
50307,Tonikaku Kawaii 2nd Season,12,TV,"Apr 8, 2023 to Jun 24, 2023","Shogakukan-Shueisha Productions, Warner Bros. Japan, KlockWorx, Shogakukan, Crunchyroll",Seven Arcs,Manga,"Comedy, Romance",23 min. per ep.,7.61,86180,15062,978
50313,Mini Moni the Movie: Okashi na Daibouken!,1,Movie,"Dec 14, 2002","None found, add some","None found, add some",Other,"Adventure, Fantasy, Gourmet, Slice of Life",53 min.,N/A,,172842,21732
50315,Nanatsu no Taizai: Ensa no Edinburgh,1,ONA,"Dec 20, 2022","None found, add some","Marvy Jack, Alfred Imageworks",Manga,"Action, Adventure, Fantasy",52 min.,6.19,11439,87512,3756
50316,Nadame Sukashi Negotiation,1,Music,"Jul 30, 2020","None found, add some","None found, add some",Music,,3 min.,5.79,491,Ranked: N/A2,13932
50317,Day by Day,2,Music,"May 24, 2017","None found, add some","None found, add some",Original,,4 min. per ep.,N/A,,Ranked: N/A2,23436
50318,Prima Stella,1,Music,"Apr 15, 2016","None found, add some","None found, add some",Original,,4 min.,6.00,129,Ranked: N/A2,20111
50319,Bonta,1,Movie,"Aug 2, 2013","None found, add some","None found, add some",Unknown,"Adventure, Comedy",1 hr. 22 min.,N/A,,192002,23592
50320,Kunta: Fan Zhuan Xingqiu,1,Movie,"Oct 1, 2017","None found, add some","None found, add some",Unknown,"Adventure, Comedy, Sci-Fi",1 hr. 33 min.,N/A,,166862,24357
50321,Zhu Dike: Lanhai Gi Yuan,1,Movie,"Nov 6, 2021","None found, add some","None found, add some",Original,,1 hr. 25 min.,N/A,,159172,21831
50324,Oz.,1,Music,"Oct 22, 2021","None found, add some",Wit Studio,Web manga,,3 min.,7.37,2053,Ranked: N/A2,9763
50325,Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,1,PV,"Oct 21, 2021","Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications",A-1 Pictures,Manga,,9 min.,8.14,31653,Ranked: N/A2,2947
50326,Tae-il,1,Movie,"Dec 1, 2021","None found, add some",Myung Films,Original,"Drama, Slice of Life",1 hr. 39 min.,N/A,,142792,16616
