ID,Title,Episodes,Type,Aired,Producers,Studios,Source,Genres,Duration (mins),Score,Scored By,Rank,Popularity,Year
2016.0,Ningyo no Mori,1.0,OVA,"Aug 16, 1991","OB Planning, Victor Entertainment, Shogakukan",Pastel,Manga,"Drama, Fantasy, Horror, Mystery",55.0,6.69,3626.0,58872.0,7135.0,1991.0
2017.0,Ningyo no Kizu,1.0,OVA,"Sep 24, 1993","Victor Entertainment, Shogakukan",Madhouse,Manga,"Drama, Fantasy, Horror, Mystery",45.0,6.72,3584.0,57012.0,6879.0,1993.0
2018.0,Warau Hyouteki,1.0,OVA,"Mar 21, 1987",Omnibus Promotion,Pierrot,Manga,"Horror, Mystery",49.0,6.1,2888.0,92652.0,7924.0,1987.0
2019.0,DNA Sights 999.9,1.0,OVA,"Dec 18, 1998",UNKNOWN,Madhouse,Manga,"Action, Adventure, Drama, Sci-Fi",48.0,5.96,1036.0,99792.0,9700.0,1998.0
2020.0,One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,1.0,TV Special,"Dec 18, 2005",UNKNOWN,Toei Animation,Manga,"Comedy, Fantasy",42.0,7.19,17526.0,33972.0,3907.0,2005.0
2021.0,Youkou no Ken,2.0,OVA,"May 28, 2004 to Jul 23, 2004",Green Bunny,UNKNOWN,Original,"Adventure, Comedy, Hentai",28.0,6.03,1218.0,,9837.0,2004.0
2022.0,Fight!!,1.0,OVA,"Jun 18, 1993",UNKNOWN,J.C.Staff,Manga,"Action, Fantasy, Supernatural",29.0,4.81,626.0,131782.0,12248.0,1993.0
2023.0,Bakuen Campus Guardress,4.0,OVA,"May 27, 1994 to Nov 25, 1994",Shueisha,Production I.G,Original,"Action, Comedy, Supernatural",30.0,5.97,1445.0,99162.0,9270.0,1994.0
2024.0,Yoshimune,24.0,TV,"Apr 6, 2006 to Sep 14, 2006",UNKNOWN,"AIC Spirits, Ginga Ya, Gonzino",Other,UNKNOWN,24.0,5.88,238.0,103952.0,14219.0,2006.0
2025.0,Darker than Black: Kuro no Keiyakusha,25.0,TV,"Apr 6, 2007 to Sep 28, 2007","Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Myrica Music, Fonishia",Bones,Original,"Action, Mystery, Sci-Fi",24.0,8.05,441860.0,5902.0,174.0,2007.0
2026.0,Hayate no Gotoku!,52.0,TV,"Apr 1, 2007 to Mar 30, 2008","TV Tokyo, Shogakukan-Shueisha Productions, Studio Tulip",SynergySP,Manga,"Action, Comedy, Romance",24.0,7.51,98864.0,18912.0,1105.0,2007.0
2027.0,Wind: A Breath of Heart Specials,4.0,Special,"Dec 10, 2004",Rondo Robe,Radix,Visual novel,"Drama, Romance, Supernatural",12.0,6.12,821.0,91862.0,11428.0,2004.0
2028.0,Zettai Muteki Raijin-Oh (1992),4.0,OVA,"Sep 30, 1992 to Feb 24, 1993",Toshiba EMI,Sunrise,Original,UNKNOWN,29.0,6.36,240.0,78282.0,14367.0,1992.0
2029.0,Sirius no Densetsu,1.0,Movie,"Jul 18, 1981",UNKNOWN,Sanrio,Book,"Drama, Fantasy, Romance",107.0,6.69,2275.0,58992.0,7987.0,1981.0
2030.0,El Cazador de la Bruja,26.0,TV,"Apr 3, 2007 to Sep 25, 2007",Victor Entertainment,Bee Train,Original,"Adventure, Drama, Mystery",24.0,7.2,18924.0,33012.0,3029.0,2007.0
2031.0,Shining Tears X Wind,13.0,TV,"Apr 7, 2007 to Jun 30, 2007",Sega,Studio Deen,Game,"Action, Adventure, Fantasy",24.0,6.46,13033.0,72262.0,3866.0,2007.0
2032.0,Wellber no Monogatari: Sisters of Wellber,13.0,TV,"Apr 4, 2007 to Jun 27, 2007","Production I.G, Nagoya Broadcasting Network",Trans Arts,Original,"Action, Adventure, Comedy, Drama, Fantasy",24.0,6.6,3049.0,64072.0,6582.0,2007.0
2033.0,Tamala 2010: A Punk Cat in Space,1.0,Movie,"Oct 19, 2002",Kinetique,UNKNOWN,Original,"Avant Garde, Comedy, Sci-Fi",91.0,6.03,3335.0,96492.0,6313.0,2002.0
2034.0,Lovely★Complex,24.0,TV,"Apr 7, 2007 to Sep 29, 2007","TBS, TAP, Sony Music Entertainment, Shueisha, Nichion",Toei Animation,Manga,"Comedy, Romance",24.0,8.03,299076.0,6152.0,375.0,2007.0
2035.0,Eikoku Koi Monogatari Emma: Molders-hen,12.0,TV,"Apr 17, 2007 to Jul 3, 2007",UNKNOWN,Ajia-do,Manga,"Drama, Romance",25.0,7.8,13340.0,10102.0,4295.0,2007.0
2036.0,Cosmic Baton Girl Comet-san☆,43.0,TV,"Apr 1, 2001 to Jan 27, 2002","Group TAC, TV Osaka, Yomiko Advertising, TOHO",Nippon Animation,Manga,"Adventure, Comedy, Drama, Sci-Fi",24.0,7.21,2188.0,32802.0,8500.0,2001.0
2037.0,Hime-chan no Ribbon,61.0,TV,"Oct 2, 1992 to Dec 3, 1993",Nihon Ad Systems,Gallop,Manga,"Comedy, Fantasy, Romance",24.0,7.46,3488.0,20722.0,6487.0,1992.0
2038.0,Mahou no Star Magical Emi,38.0,TV,"Jun 7, 1985 to Feb 28, 1986",UNKNOWN,Pierrot,Original,"Comedy, Slice of Life",23.0,6.8,2048.0,52782.0,8095.0,1985.0
2039.0,Mahou no Yousei Persia,48.0,TV,"Jul 6, 1984 to May 31, 1985",UNKNOWN,Pierrot,Original,UNKNOWN,24.0,6.83,1399.0,51142.0,9265.0,1984.0
2040.0,Mahou no Angel Sweet Mint,47.0,TV,"May 2, 1990 to Mar 27, 1991","TV Tokyo, Yomiko Advertising",Ashi Productions,Original,UNKNOWN,23.0,6.66,1148.0,60412.0,9385.0,1990.0
2041.0,Ai to Yuuki no Pig Girl Tonde Buurin,51.0,TV,"Sep 3, 1994 to Aug 26, 1995","Artland, Trans Arts, Asatsu DK, Mainichi Broadcasting System",Nippon Animation,Manga,"Comedy, Fantasy, Romance",25.0,6.67,5304.0,59992.0,6288.0,1994.0
2042.0,Five Star Stories,1.0,Movie,"Mar 11, 1989",Kadokawa Shoten,Sunrise,Manga,"Action, Drama, Fantasy, Sci-Fi",65.0,6.58,5762.0,65162.0,5653.0,1989.0
2043.0,Cat's Eye,73.0,TV,"Jul 11, 1983 to Jul 8, 1985",ImaginAsian Entertainment,Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy, Mystery, Romance",25.0,7.21,7770.0,32772.0,4719.0,1983.0
2044.0,Mahou no Tenshi Creamy Mami,52.0,TV,"Jul 1, 1983 to Jun 29, 1984",Kodansha,Pierrot,Original,"Comedy, Fantasy, Romance, Sci-Fi",24.0,7.2,4707.0,33152.0,5505.0,1983.0
2045.0,Mahou no Tenshi Creamy Mami: Eien no Once More,1.0,OVA,"Oct 28, 1984",UNKNOWN,Pierrot,Original,"Comedy, Fantasy, Romance",91.0,6.3,863.0,81642.0,11407.0,1984.0
2046.0,Mahou no Tenshi Creamy Mami: Long Goodbye,1.0,OVA,"Jun 15, 1985",UNKNOWN,Pierrot,Original,"Comedy, Fantasy, Romance",57.0,6.41,759.0,75272.0,11503.0,1985.0
2047.0,Ningyo,1.0,Movie,"Sep 21, 1964",UNKNOWN,Mushi Production,Original,UNKNOWN,8.0,6.28,2401.0,82732.0,9109.0,1964.0
2048.0,Kikou Ryouhei Mellowlink,12.0,OVA,"Nov 21, 1988 to Apr 28, 1989",VAP,Sunrise,Original,"Action, Sci-Fi",24.0,7.15,3446.0,35652.0,6307.0,1988.0
2049.0,Kouryuu Densetsu Villgust,2.0,OVA,"Jan 21, 1993 to Mar 22, 1993","Bandai Visual, Movic, Imagine",animate Film,Game,"Action, Adventure, Comedy, Fantasy, Romance",28.0,6.02,1302.0,97082.0,10605.0,1993.0
2050.0,Honoo no Tenkousei,2.0,OVA,"May 21, 1991","Studio Fantasia, Youmex, Imagine",Gainax,Manga,"Comedy, Sports",23.0,6.59,3661.0,64492.0,7328.0,1991.0
2051.0,Akai Kiba: Blue Sonnet,5.0,OVA,"Jul 16, 1989 to Jun 25, 1990","Tatsunoko Production, Walkers Company, Nippon Television Music",Mushi Production,Manga,"Action, Drama, Sci-Fi",29.0,5.9,1356.0,102742.0,9905.0,1989.0
2052.0,Nozomi Witches,3.0,OVA,"Aug 5, 1992 to Mar 10, 1993",Toshiba EMI,Group TAC,Manga,"Romance, Sports",52.0,6.29,910.0,82482.0,10883.0,1992.0
2053.0,Capricorn,1.0,OVA,"Apr 5, 1991","Anime R, Imagine",Aubec,Manga,"Adventure, Comedy, Fantasy, Sci-Fi",47.0,5.38,1741.0,122702.0,9355.0,1991.0
2054.0,Carol,1.0,OVA,"Mar 21, 1990",UNKNOWN,"animate Film, Magic Bus",Novel,UNKNOWN,59.0,4.94,967.0,130442.0,11194.0,1990.0
2055.0,Coo: Tooi Umi kara Kita Coo,1.0,Movie,"Dec 19, 1993","Kadokawa Shoten, Victor Entertainment, Pony Canyon, Nippon Television Network",Toei Animation,Novel,"Adventure, Drama, Mystery, Slice of Life",116.0,6.64,1088.0,61662.0,10131.0,1993.0
2056.0,Cosmo Police Justy,1.0,OVA,"Jul 20, 1985",Omnibus Promotion,Pierrot,Manga,"Action, Sci-Fi, Supernatural",43.0,5.39,1614.0,122312.0,10031.0,1985.0
2057.0,Ojousama Sousamou,1.0,OVA,"Apr 1, 1996",Toho Music,Daume,Original,"Action, Comedy, Mystery",30.0,4.86,1848.0,131252.0,9467.0,1996.0
2058.0,Delpower X Bakuhatsu Miracle Genki!,1.0,OVA,"Dec 21, 1986",Nippon Columbia,Big Bang,Original,"Action, Comedy, Sci-Fi",42.0,5.31,1098.0,124282.0,11324.0,1986.0
2059.0,Mainichi ga Nichiyoubi,6.0,OVA,"Sep 10, 1990 to Oct 25, 1992","animate Film, Tokuma Japan","Production I.G, Group TAC",Manga,"Comedy, Romance",25.0,6.22,1144.0,85872.0,10726.0,1990.0
2060.0,Gall Force 1: Eternal Story,1.0,Movie,"Jul 28, 1986","Movic, Sony Music Entertainment","AIC, Artmic, animate Film",Original,"Action, Adventure, Sci-Fi",86.0,6.37,2937.0,77612.0,7283.0,1986.0
2061.0,Gall Force 2: Destruction,1.0,OVA,"Nov 21, 1987",Movic,"AIC, Artmic, animate Film",Original,"Action, Sci-Fi",50.0,6.34,1945.0,79342.0,9421.0,1987.0
2062.0,Gall Force 3: Stardust War,1.0,OVA,"Nov 2, 1988","Movic, CBS","AIC, Artmic, animate Film",Original,"Action, Sci-Fi",60.0,6.31,1784.0,81142.0,9627.0,1988.0
2063.0,Rhea Gall Force,1.0,OVA,"Mar 21, 1989",Movic,"AIC, Artmic, animate Film",Original,"Action, Sci-Fi",57.0,6.18,1568.0,88232.0,9687.0,1989.0
2064.0,Gall Force: Chikyuu Shou,3.0,OVA,"Dec 25, 1989 to Dec 1, 1990",Artmic,AIC,Original,"Action, Sci-Fi",50.0,6.15,1436.0,89622.0,9654.0,1989.0
2065.0,Gall Force: New Era,2.0,OVA,"Dec 1, 1991 to Jan 26, 1992",Artmic,AIC,Original,"Action, Sci-Fi",45.0,5.67,1293.0,113212.0,10330.0,1991.0
2066.0,Gall Force: The Revolution,4.0,OVA,"Oct 2, 1996 to Mar 21, 1997",Movic,AIC,Original,"Action, Adventure, Sci-Fi",30.0,5.92,950.0,102092.0,10875.0,1996.0
